title,price,rating_stars,genre,availability,page_scraped
A Light in the Attic,GBP 38.77,1,Self-Help,In stock,1
Tipping the Velvet,GBP 20.04,1,Non-Fiction,Out of stock,1
Soumission,GBP 28.99,1,Non-Fiction,In stock,1
Sharp Objects,GBP 20.47,5,Fiction,Out of stock,1
Sapiens: A Brief History,GBP 18.95,5,Mystery,In stock,1
The Requiem Red,GBP 30.21,3,Fiction,In stock,1
The Dirty Little Secrets,GBP 41.42,3,Self-Help,In stock,1
The Coming Woman,GBP 19.69,3,Non-Fiction,In stock,1
The Boys in the Boat,GBP 27.10,3,Fantasy,Out of stock,1
The Black Maria,GBP 21.90,1,Biography,Out of stock,1
Starving Hearts,GBP 15.62,4,Non-Fiction,Out of stock,1
Shakespeare's Sonnets,GBP 23.19,5,Fantasy,Out of stock,1
Set Me Free,GBP 18.65,1,Fiction,In stock,1
Scott Pilgrim's Precious,GBP 44.79,1,History,In stock,1
Rip it Up and Start Again,GBP 27.11,4,Fantasy,In stock,1
Our Band Could Be Your Life,GBP 26.66,2,Self-Help,In stock,1
Olio,GBP 37.41,2,History,In stock,1
Mesaerion: The Best Sci Fi,GBP 30.80,3,History,In stock,1
Libertarianism for Beginners,GBP 47.93,1,History,In stock,1
It's Only the Himalayas,GBP 46.23,4,Self-Help,In stock,1
In Her Wake,GBP 19.49,5,Fantasy,In stock,2
How Music Works,GBP 39.49,4,Biography,In stock,2
Foolproof Preserving,GBP 21.92,2,Self-Help,Out of stock,2
Chase Me,GBP 29.28,5,Mystery,In stock,2
Black Dust,GBP 19.87,2,Biography,In stock,2
Birdsong: A Story in Pictures,GBP 44.01,1,Science,In stock,2
America's Cradle of Quarterbacks,GBP 45.64,4,Non-Fiction,In stock,2
Aladdin and the Enchanted Lamp,GBP 27.17,4,Self-Help,Out of stock,2
Worlds Elsewhere: Journeys Around Shakespeare,GBP 48.74,1,Non-Fiction,Out of stock,2
Wall and Piece,GBP 43.79,3,Non-Fiction,In stock,2
The Four Agreements,GBP 29.56,4,Fiction,In stock,2
The Five Love Languages,GBP 53.73,2,Non-Fiction,In stock,2
Atomic Habits,GBP 47.88,5,History,In stock,2
Deep Work,GBP 26.83,2,Fiction,Out of stock,2
Thinking Fast and Slow,GBP 24.59,1,Non-Fiction,In stock,2
Educated,GBP 49.54,3,History,In stock,2
Becoming,GBP 20.84,5,Non-Fiction,In stock,2
The Power of Now,GBP 42.94,1,Science,In stock,2
Man's Search for Meaning,GBP 39.69,5,Science,In stock,2
The Alchemist,GBP 33.75,5,Mystery,In stock,2
1984,GBP 51.80,2,Self-Help,In stock,3
To Kill a Mockingbird,GBP 54.78,3,Biography,Out of stock,3
The Great Gatsby,GBP 30.32,2,History,In stock,3
Pride and Prejudice,GBP 25.21,5,History,Out of stock,3
The Hobbit,GBP 19.91,1,Fiction,In stock,3
Harry Potter and the Philosopher's Stone,GBP 13.03,1,Fantasy,In stock,3
Animal Farm,GBP 33.14,3,Biography,In stock,3
